contestant_id,celebrity_name,season,week,J_pct,f_mean,f_median,f_ci_low,f_ci_high,f_std,ci_width,was_eliminated,n_contestants,acceptance_rate,P_w
Evander Holyfield_S1,Evander Holyfield,1,1,60.0,0.17210626659492206,0.1353870485564932,0.005412145086789885,0.5355795089562948,0.1449604735396035,0.5301673638695049,False,6,1.0,1.0
Joey McIntyre_S1,Joey McIntyre,1,1,66.66666666666666,0.16240118854366037,0.11916516807640272,0.004156672288853964,0.5288306555350957,0.14361548594224396,0.5246739832462417,False,6,1.0,1.0
John O'Hurley_S1,John O'Hurley,1,1,66.66666666666666,0.16398027478268398,0.13280189781767798,0.0038771250492944556,0.5095043158560647,0.13948037057189133,0.5056271908067702,False,6,1.0,1.0
Kelly Monaco_S1,Kelly Monaco,1,1,43.333333333333336,0.1639788046349342,0.12827516090640584,0.006524511762390807,0.5237738047197567,0.13561105175136032,0.5172492929573659,False,6,1.0,1.0
Rachel Hunter_S1,Rachel Hunter,1,1,66.66666666666666,0.16603833830047524,0.1304116405630721,0.005825242265599242,0.5182744801457048,0.14199728829751163,0.5124492378801055,False,6,1.0,1.0
Trista Sutter_S1,Trista Sutter,1,1,60.0,0.17149512714332416,0.13652079563659014,0.005649932314624885,0.5033464555410108,0.14077747937272966,0.49769652322638586,False,6,1.0,1.0
Evander Holyfield_S1,Evander Holyfield,1,2,46.66666666666666,0.22782580902512856,0.21379444034802744,0.0861630487805766,0.4346411204690915,0.0932237331223849,0.34847807168851486,False,6,0.6886666666666666,1.0
Joey McIntyre_S1,Joey McIntyre,1,2,70.0,0.16213934953973166,0.14198272490659425,0.012925669596118934,0.4311902396604628,0.11009203101344985,0.41826457006434387,False,6,0.6886666666666666,1.0
John O'Hurley_S1,John O'Hurley,1,2,86.66666666666667,0.186001568122389,0.1673528864350348,0.020621531484002694,0.4630740351538952,0.11594918283518776,0.4424525036698925,False,6,0.6886666666666666,1.0
Kelly Monaco_S1,Kelly Monaco,1,2,56.66666666666666,0.20006024206862197,0.18353202151084502,0.05877867520513703,0.4470024770683529,0.09472637340055427,0.38822380186321587,False,6,0.6886666666666666,1.0
Rachel Hunter_S1,Rachel Hunter,1,2,80.0,0.15949936185052224,0.1421077772056511,0.018329280755003455,0.39129976234738634,0.09759417527639648,0.3729704815923829,False,6,0.6886666666666666,1.0
Trista Sutter_S1,Trista Sutter,1,2,63.33333333333333,0.06447366939360666,0.060456782538057606,0.006527242908841338,0.15218054638386727,0.03759417067884044,0.14565330347502592,True,6,0.6886666666666666,1.0
Evander Holyfield_S1,Evander Holyfield,1,3,43.333333333333336,0.14440629469777236,0.1227140223742503,0.015570445701265399,0.44600234406845596,0.10111557294237848,0.43043189836719054,True,5,0.8456666666666667,0.7265
Joey McIntyre_S1,Joey McIntyre,1,3,73.33333333333333,0.20141216164884013,0.17771400962679867,0.020670826803371456,0.5447224923262317,0.13266035802427026,0.5240516655228602,False,5,0.8456666666666667,0.7265
John O'Hurley_S1,John O'Hurley,1,3,80.0,0.20963726797700344,0.18591503041898522,0.019246264620237607,0.5061645150572384,0.13393779078798193,0.48691825043700077,False,5,0.8456666666666667,0.7265
Kelly Monaco_S1,Kelly Monaco,1,3,70.0,0.23631153163495525,0.21751125768760965,0.048291027269082534,0.5357036882797004,0.12822968665092097,0.48741266101061786,False,5,0.8456666666666667,0.7265
Rachel Hunter_S1,Rachel Hunter,1,3,86.66666666666667,0.20823274404142883,0.19818562194667788,0.015379974202593846,0.484307479437401,0.13215754752128864,0.46892750523480714,False,5,0.8456666666666667,0.7265
Joey McIntyre_S1,Joey McIntyre,1,4,66.66666666666666,0.38859617802423435,0.3658848419443808,0.1574556551434389,0.6899725258982907,0.13368851087906436,0.5325168707548518,False,4,0.708,1.0
John O'Hurley_S1,John O'Hurley,1,4,70.0,0.26916937990593487,0.25360357817244267,0.08371836850682332,0.5997792296922051,0.12815711798774596,0.5160608611853817,False,4,0.708,1.0
Kelly Monaco_S1,Kelly Monaco,1,4,86.66666666666667,0.2294296026260441,0.20497279299447324,0.03407244443922747,0.5712649943462605,0.1382688818380749,0.5371925499070331,False,4,0.708,1.0
