season,contestant_id,celebrity_name,ballroom_partner,rank_final,avg_rank_judge,avg_J_pct,last_week,PBI
1,Evander Holyfield_S1,Evander Holyfield,Edyta Sliwinska,5,5.0,50.0,3,0.0
1,Joey McIntyre_S1,Joey McIntyre,Ashly DelGrosso,3,2.8,70.33333333333333,5,-0.20000000000000018
1,John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,2,1.6666666666666667,80.55555555555556,6,-0.33333333333333326
1,Kelly Monaco_S1,Kelly Monaco,Alec Mazo,1,3.1666666666666665,71.1111111111111,6,2.1666666666666665
1,Rachel Hunter_S1,Rachel Hunter,Jonathan Roberts,4,1.5,79.16666666666667,4,-2.5
1,Trista Sutter_S1,Trista Sutter,Louis van Amstel,6,4.0,61.666666666666664,2,-2.0
2,Drew Lachey_S2,Drew Lachey,Cheryl Burke,1,1.25,91.45824999999999,8,0.25
2,George Hamilton_S2,George Hamilton,Edyta Sliwinska,5,5.333333333333333,72.22222222222221,6,0.33333333333333304
2,Giselle Fernandez_S2,Giselle Fernandez,Jonathan Roberts,8,3.3333333333333335,76.66666666666667,3,-4.666666666666666
2,Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,2,4.625,75.06941666666667,8,2.625
2,Kenny Mayne_S2,Kenny Mayne,Andrea Hale,10,9.0,43.333333333333336,1,-1.0
2,Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,4,4.142857142857143,80.23809523809523,7,0.14285714285714324
2,Master P_S2,Master P,Ashly DelGrosso,7,8.5,41.666666666666664,4,1.5
2,Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,3,1.625,91.73604166666667,8,-1.375
2,Tatum O'Neal_S2,Tatum O'Neal,Nick Kosovich,9,5.0,66.66666666666666,2,-4.0
2,Tia Carrere_S2,Tia Carrere,Maksim Chmerkoskiy,6,4.8,76.66666666666666,5,-1.2000000000000002
3,Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,1,2.6,85.88886666666667,10,1.6
3,Harry Hamlin_S3,Harry Hamlin,Ashly DelGrosso,9,6.333333333333333,66.66666666666667,3,-2.666666666666667
3,Jerry Springer_S3,Jerry Springer,Kym Johnson,5,7.142857142857143,68.09523809523809,7,2.1428571428571432
3,Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,3,2.7777777777777777,86.29629629629629,9,-0.22222222222222232
3,Mario Lopez_S3,Mario Lopez,Karina Smirnoff,2,2.1,89.55553333333333,10,0.10000000000000009
3,Monique Coleman_S3,Monique Coleman,Louis van Amstel,4,3.25,83.125,8,-0.75
3,Sara Evans_S3,Sara Evans,Tony Dovolani,6,6.8,70.0,5,0.7999999999999998
3,Shanna Moakler_S3,Shanna Moakler,Jesse DeSoto,10,6.5,66.66666666666666,2,-3.5
3,Tucker Carlson_S3,Tucker Carlson,Elena Grinenko,11,11.0,40.0,1,0.0
3,Vivica A. Fox_S3,Vivica A. Fox,Nick Kosovich,8,2.75,80.83333333333333,4,-5.25
3,Willa Ford_S3,Willa Ford,Maksim Chmerkoskiy,7,3.0,81.33333333333333,5,-4.0
4,Apolo Anton Ohno_S4,Apolo Anton Ohno,Julianne Hough,1,2.2,89.61106666666667,10,1.2000000000000002
4,Billy Ray Cyrus_S4,Billy Ray Cyrus,Karina Smirnoff,5,6.5,63.33333333333333,8,1.5
4,Clyde Drexler_S4,Clyde Drexler,Elena Grinenko,8,9.4,52.0,5,1.4000000000000004
4,Heather Mills_S4,Heather Mills,Jonathan Roberts,7,4.166666666666667,73.8888888888889,6,-2.833333333333333
4,Ian Ziering_S4,Ian Ziering,Cheryl Burke,4,3.4444444444444446,80.92592592592592,9,-0.5555555555555554
4,Joey Fatone_S4,Joey Fatone,Kym Johnson,2,1.8,89.22216666666665,10,-0.19999999999999996
4,John Ratzenberger_S4,John Ratzenberger,Edyta Sliwinska,6,6.857142857142857,63.57142857142857,7,0.8571428571428568
4,Laila Ali_S4,Laila Ali,Maksim Chmerkoskiy,3,2.5,87.4444,10,-0.5
4,Leeza Gibbons_S4,Leeza Gibbons,Tony Dovolani,9,6.0,63.333333333333336,4,-3.0
4,Paulina Porizkova_S4,Paulina Porizkova,Alec Mazo,11,5.5,66.66666666666666,2,-5.5
4,Shandi Finnessey_S4,Shandi Finnessey,Brian Fortuna,10,7.0,66.66666666666667,3,-3.0
5,Albert Reed_S5,Albert Reed,Anna Trebunskaya,11,5.0,70.0,2,-6.0
5,Cameron Mathison_S5,Cameron Mathison,Edyta Sliwinska,5,4.25,80.83333333333334,8,-0.75
5,Floyd Mayweather Jr. _S5,Floyd Mayweather Jr. ,Karina Smirnoff,9,8.0,69.16666666666667,4,-1.0
5,Helio Castroneves_S5,Helio Castroneves,Julianne Hough,1,2.6,88.8333,10,1.6
5,Jane Seymour_S5,Jane Seymour,Tony Dovolani,6,4.285714285714286,81.42857142857143,7,-1.7142857142857144
5,Jennie Garth_S5,Jennie Garth,Derek Hough,4,3.6666666666666665,84.25925925925927,9,-0.3333333333333335
5,Josie Maran_S5,Josie Maran,Alec Mazo,12,12.0,53.333333333333336,1,0.0
5,Marie Osmond_S5,Marie Osmond,Jonathan Roberts,3,4.5,80.83333333333334,10,1.5
5,Mark Cuban_S5,Mark Cuban,Kym Johnson,8,8.0,68.0,5,0.0
5,Mel B_S5,Mel B,Maksim Chmerkoskiy,2,2.0,90.77773333333333,10,0.0
5,Sabrina Bryan_S5,Sabrina Bryan,Mark Ballas,7,1.8333333333333333,90.0,6,-5.166666666666667
5,Wayne Newton_S5,Wayne Newton,Cheryl Burke,10,10.333333333333334,57.77777777777777,3,0.3333333333333339
6,Adam Carolla_S6,Adam Carolla,Julianne Hough,9,8.75,61.666666666666664,4,-0.25
6,Cristian de la Fuente_S6,Cristian de la Fuente,Cheryl Burke,3,4.1,82.5,10,1.0999999999999996
6,Jason Taylor_S6,Jason Taylor,Edyta Sliwinska,2,2.8,87.16666666666666,10,0.7999999999999998
6,Kristi Yamaguchi_S6,Kristi Yamaguchi,Mark Ballas,1,1.2,94.0,10,0.19999999999999996
6,Mario_S6,Mario,Karina Smirnoff,5,3.375,84.16666666666666,8,-1.625
6,Marissa Jaret Winokur_S6,Marissa Jaret Winokur,Tony Dovolani,4,5.444444444444445,77.40740740740742,9,1.4444444444444446
6,Marlee Matlin_S6,Marlee Matlin,Fabian Sanchez,7,5.5,74.44444444444444,6,-1.5
6,Monica Seles_S6,Monica Seles,Jonathan Roberts,11,11.5,50.0,2,0.5
6,Penn Jillette_S6,Penn Jillette,Kym Johnson,12,10.0,55.0,2,-2.0
6,Priscilla Presley_S6,Priscilla Presley,Louis van Amstel,8,5.2,76.0,5,-2.8
6,Shannon Elizabeth_S6,Shannon Elizabeth,Derek Hough,6,4.428571428571429,80.71428571428571,7,-1.5714285714285712
6,Steve Guttenberg_S6,Steve Guttenberg,Anna Trebunskaya,10,8.333333333333334,61.111111111111114,3,-1.666666666666666
7,Brooke Burke_S7,Brooke Burke,Derek Hough,1,1.2,89.83333333333334,10,0.19999999999999996
7,Cloris Leachman_S7,Cloris Leachman,Corky Ballas,7,8.5,58.333333333333336,6,1.5
7,Cody Linley_S7,Cody Linley,Julianne Hough,4,4.333333333333333,76.11111111111111,9,0.33333333333333304
7,Jeffrey Ross_S7,Jeffrey Ross,Edyta Sliwinska,13,13.0,40.0,1,0.0
7,Kim Kardashian_S7,Kim Kardashian,Mark Ballas,11,8.5,59.166666666666664,2,-2.5
7,Lance Bass_S7,Lance Bass,Lacey Schwimmer,3,3.1,81.16666666666666,10,0.10000000000000009
7,Maurice Greene_S7,Maurice Greene,Cheryl Burke,5,5.125,74.79166666666667,8,0.125
7,Misty May-Treanor_S7,Misty May-Treanor,Maksim Chmerkoskiy,10,4.5,70.0,2,-5.5
7,Rocco DiSpirito_S7,Rocco DiSpirito,Karina Smirnoff,9,9.5,59.58333333333333,4,0.5
7,Susan Lucci_S7,Susan Lucci,Tony Dovolani,6,4.857142857142857,73.0952380952381,7,-1.1428571428571432
7,Ted McGinley_S7,Ted McGinley,Inna Brayer,12,8.0,61.66666666666667,1,-4.0
7,Toni Braxton_S7,Toni Braxton,Alec Mazo,8,3.8,74.33333333333333,5,-4.2
7,Warren Sapp_S7,Warren Sapp,Kym Johnson,2,3.0,80.83333333333334,10,1.0
8,Belinda Carlisle_S8,Belinda Carlisle,Jonathan Roberts,13,9.0,58.33333333333333,2,-4.0
8,Chuck Wicks_S8,Chuck Wicks,Julianne Hough,6,5.125,76.45833333333333,8,-0.875
8,David Alan Grier_S8,David Alan Grier,Kym Johnson,9,6.8,69.33333333333333,5,-2.2
8,Denise Richards_S8,Denise Richards,Maksim Chmerkoskiy,12,7.333333333333333,61.111111111111114,3,-4.666666666666667
8,Gilles Marini_S8,Gilles Marini,Cheryl Burke,2,1.6363636363636365,92.27272727272727,11,-0.36363636363636354
8,Holly Madison_S8,Holly Madison,Dmitry Chaplin,11,8.5,57.5,4,-2.5
8,Lawrence Taylor_S8,Lawrence Taylor,Edyta Sliwinska,7,7.714285714285714,65.71428571428571,7,0.7142857142857144
8,Lil' Kim_S8,Lil' Kim,Derek Hough,5,3.111111111111111,85.18518518518518,9,-1.8888888888888888
8,Melissa Rycroft_S8,Melissa Rycroft,Tony Dovolani,3,2.4545454545454546,88.93939393939394,11,-0.5454545454545454
8,Shawn Johnson_S8,Shawn Johnson,Mark Ballas,1,2.272727272727273,88.18181818181819,11,1.272727272727273
8,Steve Wozniak_S8,Steve Wozniak,Karina Smirnoff,10,11.75,43.33333333333333,4,1.75
8,Steve-O_S8,Steve-O,Lacey Schwimmer,8,10.0,52.77777777777777,6,2.0
8,Ty Murray_S8,Ty Murray,Chelsie Hightower,4,6.0,72.66666666666666,10,2.0
9,Aaron Carter_S9,Aaron Carter,Karina Smirnoff,5,5.375,72.4999375,8,0.375
9,Ashley Hamiliton_S9,Ashley Hamiliton,Edyta Sliwinska,16,10.0,63.333000000000006,1,-6.0
9,Chuck Liddell_S9,Chuck Liddell,Anna Trebunskaya,11,8.25,62.49999999999999,4,-2.75
9,Debi Mazar_S9,Debi Mazar,Maksim Chmerkoskiy,12,6.333333333333333,66.66666666666667,3,-5.666666666666667
9,Donny Osmond_S9,Donny Osmond,Kym Johnson,1,4.9,78.05543333333334,10,3.9000000000000004
9,Joanna Krupa_S9,Joanna Krupa,Derek Hough,4,4.333333333333333,77.22218518518518,9,0.33333333333333304
9,Kathy Ireland_S9,Kathy Ireland,Tony Dovolani,14,10.0,63.33316666666667,2,-4.0
9,Kelly Osbourne_S9,Kelly Osbourne,Louis van Amstel,3,5.3,76.40723333333332,10,2.3
9,Louie Vito_S9,Louie Vito,Chelsie Hightower,8,6.166666666666667,71.11099999999999,6,-1.833333333333333
9,Macy Gray_S9,Macy Gray,Jonathan Roberts,15,10.0,63.333000000000006,1,-5.0
9,Mark Dacascos_S9,Mark Dacascos,Lacey Schwimmer,6,5.571428571428571,73.09514285714286,7,-0.4285714285714288
9,Melissa Joan Hart_S9,Melissa Joan Hart,Mark Ballas,9,5.333333333333333,76.11105555555555,6,-3.666666666666667
9,Michael Irvin_S9,Michael Irvin,Anna Demidova,7,8.428571428571429,64.52371428571428,7,1.4285714285714288
9,Mya_S9,Mya,Dmitry Chaplin,2,3.4,84.11101666666666,10,1.4
9,Natalie Coughlin_S9,Natalie Coughlin,Alec Mazo,10,4.0,79.99986666666666,5,-6.0
9,Tom DeLay_S9,Tom DeLay,Cheryl Burke,13,10.666666666666666,58.88877777777778,3,-2.333333333333334
10,Aiden Turner_S10,Aiden Turner,Edyta Sliwinska,9,8.25,58.75,4,-0.75
10,Buzz Aldrin_S10,Buzz Aldrin,Ashly DelGrosso,10,10.666666666666666,43.333333333333336,3,0.6666666666666661
10,Chad Ochocinco_S10,Chad Ochocinco,Cheryl Burke,4,5.444444444444445,68.14812962962964,9,1.4444444444444446
10,Erin Andrews_S10,Erin Andrews,Maksim Chmerkoskiy,3,3.3,77.49993333333333,10,0.2999999999999998
10,Evan Lysacek_S10,Evan Lysacek,Anna Trebunskaya,2,1.6,87.62956666666666,10,-0.3999999999999999
10,Jake Pavelka_S10,Jake Pavelka,Chelsie Hightower,7,4.5,71.11105555555555,6,-2.5
10,Kate Gosselin_S10,Kate Gosselin,Tony Dovolani,8,9.0,51.333333333333336,5,1.0
10,Nicole Scherzinger_S10,Nicole Scherzinger,Derek Hough,1,1.5,87.59255,10,0.5
10,Niecy Nash_S10,Niecy Nash,Louis van Amstel,5,5.125,69.99991666666666,8,0.125
10,Pamela Anderson_S10,Pamela Anderson,Damian Whitewood,6,4.285714285714286,70.95233333333333,7,-1.7142857142857144
10,Shannen Doherty_S10,Shannen Doherty,Mark Ballas,11,6.0,63.33333333333333,2,-5.0
11,Audrina Patridge_S11,Audrina Patridge,Tony Dovolani,7,3.6666666666666665,72.22216666666667,6,-3.3333333333333335
11,Brandy_S11,Brandy,Maksim Chmerkoskiy,4,2.4444444444444446,81.99072222222223,9,-1.5555555555555554
11,Bristol Palin_S11,Bristol Palin,Mark Ballas,3,5.6,73.68046666666666,10,2.5999999999999996
11,David Hasselhoff_S11,David Hasselhoff,Kym Johnson,12,10.0,50.0,1,-2.0
11,Florence Henderson_S11,Florence Henderson,Corky Ballas,8,6.8,63.666666666666664,5,-1.2000000000000002
