season,week,spearman_corr,p_value,mean_rank_diff,pbi_std,n_contestants,divergence_score
1,1,0.0,1.0,2.3333333333333335,2.8751811537130436,6,1.0
1,2,0.2571428571428572,0.6227871720116618,1.6666666666666667,2.280350850198276,6,0.7428571428571429
1,3,0.09999999999999999,0.8728885715695383,1.2,2.1213203435596424,5,0.9
1,4,0.39999999999999997,0.6,1.0,1.4142135623730951,4,0.6000000000000001
1,5,0.5,0.6666666666666667,0.6666666666666666,1.0,3,0.5
2,1,0.3282689935872349,0.35441832701832526,2.7,3.695342413844157,10,0.6717310064127651
2,2,0.5941474602165634,0.09158336570110645,1.8888888888888888,2.472066162365221,9,0.4058525397834366
2,3,0.46991362539408293,0.24002662706354735,1.75,2.6049403612586386,8,0.530086374605917
2,4,0.702731220902536,0.07823745383207154,1.2857142857142858,1.7728105208558367,7,0.29726877909746396
2,5,0.5428571428571429,0.26570262390670557,1.3333333333333333,1.7888543819998317,6,0.4571428571428571
2,6,0.47434164902525683,0.41953112817892135,1.2,1.51657508881031,5,0.5256583509747432
2,7,0.21081851067789195,0.7891814893221081,1.25,1.707825127659933,4,0.7891814893221081
2,8,0.5,0.6666666666666667,0.6666666666666666,1.0,3,0.5
3,1,0.615035764230577,0.04401852763550924,2.4545454545454546,3.0480992587035436,11,0.38496423576942296
3,2,0.2584921310565987,0.47084027240748283,3.0,3.5023801430836525,10,0.7415078689434014
3,3,-0.42844216777938476,0.24991523765587964,3.888888888888889,4.657729537494041,9,1.4284421677793848
3,4,0.26837252006084666,0.5204409776823383,2.125,2.8753881725529062,8,0.7316274799391533
3,5,0.378489059622558,0.40247386176198274,1.8571428571428572,2.70801280154532,7,0.6215109403774419
3,6,0.8999999999999998,0.03738607346849874,0.4,0.7071067811865476,5,0.1000000000000002
3,7,0.8207826816681234,0.08858700531354378,0.6,1.0954451150103321,5,0.1792173183318766
3,8,0.632455532033676,0.367544467966324,0.75,0.9574271077563381,4,0.367544467966324
3,9,,,1.0,1.0,3,
4,1,0.5388184026731233,0.08722133737078645,2.3636363636363638,3.311138227805714,11,0.4611815973268767
4,2,0.7554931501717952,0.007167056167260761,1.9090909090909092,2.5009089256799126,11,0.2445068498282048
4,3,0.22173670957346323,0.5381041345795061,3.5,4.175324338699131,10,0.7782632904265367
4,4,0.798347516475217,0.009892107261203428,1.3333333333333333,1.6414763002993509,9,0.20165248352478304
4,5,0.880952380952381,0.0038503204637324014,0.75,1.1952286093343936,8,0.11904761904761896
4,6,0.8288624656799143,0.02117351558100427,1.0,1.3451854182690985,7,0.17113753432008572
4,7,0.6767633692869747,0.1398366873478105,1.3333333333333333,1.5055453054181622,6,0.32323663071302533
4,8,0.9999999999999999,1.4042654220543672e-24,0.0,0.0,5,1.1102230246251565e-16
4,9,0.316227766016838,0.683772233983162,1.25,1.707825127659933,4,0.683772233983162
4,10,1.0,0.0,0.0,0.0,3,0.0
5,1,0.6538325712830588,0.021098671560422562,2.0833333333333335,2.8749176536296677,12,0.3461674287169412
5,2,0.6769584383643705,0.02213886950111911,2.0,2.809076198843508,11,0.32304156163562947
5,3,0.541602560309064,0.10587956642405423,2.2,3.204163957519444,10,0.45839743969093605
5,4,0.37953605763829484,0.31371672418792584,2.2222222222222223,2.7838821814150108,9,0.6204639423617051
5,5,0.024098134635593998,0.9548334873494593,2.75,3.4121631178560534,8,0.975901865364406
5,6,0.6486749731408026,0.11499598135612574,1.5714285714285714,1.9518001458970662,7,0.3513250268591974
5,7,0.6667366910003157,0.14808979944035275,0.8333333333333334,1.3291601358251257,6,0.33326330899968426
5,8,0.6,0.28475697986529375,0.8,1.4142135623730951,5,0.4
5,9,0.7378647873726218,0.2621352126273781,0.75,0.9574271077563381,4,0.26213521262737816
5,10,0.5,0.6666666666666667,0.6666666666666666,1.0,3,0.5
6,1,0.6666925892313099,0.017894046968761596,2.25,2.906367096044424,12,0.3333074107686901
6,2,0.8154770638597305,0.0012247525741245142,1.75,2.261335084333227,12,0.1845229361402695
6,3,0.3751832396884334,0.2853822954558142,2.6,3.470510689285432,10,0.6248167603115666
6,4,0.8597690960663361,0.002956280470216864,0.8888888888888888,1.3333333333333333,9,0.1402309039336639
6,5,0.8434347122457899,0.008503234145179244,0.75,1.3887301496588271,8,0.15656528775421008
6,6,0.6126374746329801,0.1435885753012859,1.0,1.7728105208558367,7,0.38736252536701987
6,7,0.5797710356524485,0.2277839567150159,1.5,1.834847859269718,6,0.4202289643475515
6,8,0.3,0.6238376647810728,1.6,1.8708286933869707,5,0.7
6,9,0.7999999999999999,0.20000000000000007,0.5,0.816496580927726,4,0.20000000000000007
6,10,1.0,0.0,0.0,0.0,3,0.0
7,1,0.661149973453708,0.013869687188352115,2.4615384615384617,3.2502465389724766,13,0.33885002654629204
7,2,0.5471625829473264,0.08150090226502098,2.5454545454545454,3.324837658374534,11,0.45283741705267355
7,3,0.747925568066256,0.02048192068544556,1.3333333333333333,1.922093765778466,9,0.252074431933744
7,4,0.6469549633766489,0.05965873510354562,1.7777777777777777,2.2973414586817036,9,0.35304503662335107
7,5,0.5301589619830679,0.1765098301165559,1.75,2.3145502494313788,8,0.4698410380169321
7,6,0.8288624656799143,0.02117351558100427,1.0,1.3451854182690985,7,0.17113753432008572
7,7,0.20291986247835694,0.699797968157019,1.8333333333333333,2.48327740429189,6,0.7970801375216431
7,8,0.9746794344808963,0.004818230468198566,0.2,0.447213595499958,5,0.025320565519103666
